id,name,source,evidence,contact_route,fit_hypothesis,status,verified_date,draft,sent_at,reply_at,trial_workspace,activated_at,paid_at,attributed_mrr_usd,route_review_note
1,Web Design Pros 365,https://www.webdesignpros365.com/partnerships,Technology partnership page explicitly invites platforms for integration and recommendation.,https://www.webdesignpros365.com/contact?topic=partnership,high,submitted_http_200,2026-09-10,"Hello Web Design Pros 365 team,

Your technology partnership page invites platforms you can integrate into builds and recommend to clients. VisitorPing lets website owners see visitors live in a dashboard and receive iPhone notifications when someone visits.

Could this fit clients who want to notice website activity without repeatedly opening analytics? We would like to start with an evaluation on your own site using the existing 14-day trial, then discuss referrals if it proves useful. Approved affiliates earn 20% of eligible subscription revenue during each referred customer's first 12 paid months; no upfront partner fee.

Product: https://visitorping.com/?utm_source=webdesignpros365&utm_medium=partnership&utm_campaign=agency_pilot
Program and terms: https://visitorping.com/affiliates

Would your team be open to evaluating it? An email reply is enough; no call needed to start.

Serhan
VisitorPing
",2026-09-10T17:07:14.154Z,,,,,0,
2,Buzz Clique,https://buzzclique.com/,Offers WordPress care alongside website design and Google Ads management.,https://buzzclique.com/contact/,high,general_inquiry_reviewed,2026-09-10,"Hello Buzz Clique team,

Your combination of WordPress care and Google Ads management makes live website activity relevant to an existing client service.

VisitorPing shows website visitors live in a dashboard and sends iPhone notifications when someone visits. We are looking for an agency willing to evaluate it on its own site through the existing 14-day trial, then consider whether it is useful for clients.

Approved affiliates earn 20% of eligible subscription revenue for each referred customer's first 12 paid months. Details: https://visitorping.com/affiliates

Would this be relevant to your team? A reply is enough to start.

Serhan
VisitorPing",,,,,,0,"General form has Something else, but it is framed around service requests and includes Turnstile. No submission made."
3,TinyFirm,https://tinyfirm.dev/,"Small-business websites and recurring Essentials, Growth and Pro care plans. Publicly identifies Ryan and Kevin.",contact@tinyfirm.dev,medium,mailbox_required,2026-09-10,"Hello TinyFirm team,

Ryan and Kevin, your monthly website care plans keep you involved after a small business launches its site.

VisitorPing shows website visitors live in a dashboard and sends iPhone notifications when someone visits. We are looking for an agency willing to evaluate it on its own site through the existing 14-day trial, then consider whether it is useful for clients.

Approved affiliates earn 20% of eligible subscription revenue for each referred customer's first 12 paid months. Details: https://visitorping.com/affiliates

Would this be relevant to your team? A reply is enough to start.

Serhan
VisitorPing",,,,,,0,
4,BMECOM,https://www.bmecom.com/,"Website design, ecommerce and digital marketing. Bill Mitchell is named as responsible for technology partnerships.",https://www.bmecom.com/,high,captcha_blocked,2026-09-10,"Hello BMECOM team,

Bill, your team page says you manage technology partnerships alongside ecommerce and digital marketing.

VisitorPing shows website visitors live in a dashboard and sends iPhone notifications when someone visits. We are looking for an agency willing to evaluate it on its own site through the existing 14-day trial, then consider whether it is useful for clients.

Approved affiliates earn 20% of eligible subscription revenue for each referred customer's first 12 paid months. Details: https://visitorping.com/affiliates

Would this be relevant to your team? A reply is enough to start.

Serhan
VisitorPing",,,,,,0,Rendered Wix inquiry form includes a required CAPTCHA. No submission made; direct public business email remains available but no appropriate outbound mailbox is connected.
5,BigSons Web & Marketing,https://www.bigsonsweb.com/,"Local service website design and monthly maintenance. Displayed project layouts are examples, not verified clients.",https://www.bigsonsweb.com/contact/,medium,quote_form_unsuitable,2026-09-10,"Hello BigSons Web & Marketing team,

Your monthly website care service for local businesses provides a natural place to evaluate an optional visitor notification tool.

VisitorPing shows website visitors live in a dashboard and sends iPhone notifications when someone visits. We are looking for an agency willing to evaluate it on its own site through the existing 14-day trial, then consider whether it is useful for clients.

Approved affiliates earn 20% of eligible subscription revenue for each referred customer's first 12 paid months. Details: https://visitorping.com/affiliates

Would this be relevant to your team? A reply is enough to start.

Serhan
VisitorPing",,,,,,0,Form is Send quote request with website purchase and maintenance options. Do not pose as a prospective buyer.
6,Streamline Sites,https://streamlinesites.com/,"Service-business websites, managed hosting, growth tools and monthly care.",https://streamlinesites.com/,medium,route_review,2026-09-10,"Hello Streamline Sites team,

Your service combines business websites, ongoing care and growth tools such as booking and CRM integrations.

VisitorPing shows website visitors live in a dashboard and sends iPhone notifications when someone visits. We are looking for an agency willing to evaluate it on its own site through the existing 14-day trial, then consider whether it is useful for clients.

Approved affiliates earn 20% of eligible subscription revenue for each referred customer's first 12 paid months. Details: https://visitorping.com/affiliates

Would this be relevant to your team? A reply is enough to start.

Serhan
VisitorPing",,,,,,0,
7,Anchor Web Digital,https://www.anchorwebdigital.com/services/website-maintenance,Recurring care plans; Grow includes reporting and Scale includes optimization.,hello@anchorwebdigital.com,medium,mailbox_required,2026-09-10,"Hello Anchor Web Digital team,

Your Grow care plan includes monthly reports; some owners may also value seeing activity as it happens between reports.

VisitorPing shows website visitors live in a dashboard and sends iPhone notifications when someone visits. We are looking for an agency willing to evaluate it on its own site through the existing 14-day trial, then consider whether it is useful for clients.

Approved affiliates earn 20% of eligible subscription revenue for each referred customer's first 12 paid months. Details: https://visitorping.com/affiliates

Would this be relevant to your team? A reply is enough to start.

Serhan
VisitorPing",,,,,,0,"Contact form requests a service, budget and free quote. Public business email found; no suitable outbound mailbox connected."
8,Full Speed Studio,https://www.fullspeedstudio.com/,"Local small-business sites and annual care, including visitor reporting in an upper tier. Low annual care pricing may limit add-on fit.",https://www.fullspeedstudio.com/,low,route_review,2026-09-10,"Hello Full Speed Studio team,

Your small-business care offering includes an annual visitor report; live notifications could be an optional addition for interested owners.

VisitorPing shows website visitors live in a dashboard and sends iPhone notifications when someone visits. We are looking for an agency willing to evaluate it on its own site through the existing 14-day trial, then consider whether it is useful for clients.

Approved affiliates earn 20% of eligible subscription revenue for each referred customer's first 12 paid months. Details: https://visitorping.com/affiliates

Would this be relevant to your team? A reply is enough to start.

Serhan
VisitorPing",,,,,,0,
9,Spirepoint Digital,https://www.spirepointdigital.com/,WordPress care plus add-on services. Location and partner contact suitability still need verification.,https://www.spirepointdigital.com/,medium,route_review,2026-09-10,"Hello Spirepoint Digital team,

Your WordPress care service includes add-ons intended to make a website more useful to its owner.

VisitorPing shows website visitors live in a dashboard and sends iPhone notifications when someone visits. We are looking for an agency willing to evaluate it on its own site through the existing 14-day trial, then consider whether it is useful for clients.

Approved affiliates earn 20% of eligible subscription revenue for each referred customer's first 12 paid months. Details: https://visitorping.com/affiliates

Would this be relevant to your team? A reply is enough to start.

Serhan
VisitorPing",,,,,,0,
10,Valerian,https://getvalerian.com/partnerships/,"Website development and care partnerships across WordPress, Shopify and other platforms. Partner page primarily recruits designers, so vendor fit remains unconfirmed.",https://getvalerian.com/partnerships/apply/,medium,partner_application_unsuitable,2026-09-10,"Hello Valerian team,

Your partnerships cover both website development and ongoing care across several platforms.

VisitorPing shows website visitors live in a dashboard and sends iPhone notifications when someone visits. We are looking for an agency willing to evaluate it on its own site through the existing 14-day trial, then consider whether it is useful for clients.

Approved affiliates earn 20% of eligible subscription revenue for each referred customer's first 12 paid months. Details: https://visitorping.com/affiliates

Would this be relevant to your team? A reply is enough to start.

Serhan
VisitorPing",,,,,,0,Application recruits designers/agencies buying development or care. Requires client hourly rates and purchased-service interests. Not a software vendor partnership application.
